gene,signature,cluster
FNDC3A,Primary,G4
FOXO1,Primary,G4
FREM2,Primary,G4
FRY,Primary,G4
GAS6,Primary,G4
GGACT,Primary,G4
GJA3,Primary,G4
GJB2,Primary,G4
GPC5,Primary,G4
GPR12,Primary,G4
GPR180,Primary,G4
GPR183,Primary,G4
GRK1,Primary,G4
GRTP1,Primary,G4
GSX1,Primary,G4
GTF2F2,Primary,G4
GTF3A,Primary,G4
GUCY1B2,Primary,G4
HMGB1,Primary,G4
HS6ST3,Primary,G4
HSPH1,Primary,G4
IFT88,Primary,G4
IL17D,Primary,G4
ING1,Primary,G4
INTS6,Primary,G4
IPO5,Primary,G4
IRS2,Primary,G4
ITGBL1,Primary,G4
ITM2B,Primary,G4
KATNAL1,Primary,G4
KBTBD6,Primary,G4
KBTBD7,Primary,G4
KCNRG,Primary,G4
KDELC1,Primary,G4
KL,Primary,G4
KLF12,Primary,G4
KLF5,Primary,G4
KLHL1,Primary,G4
KPNA3,Primary,G4
LACC1,Primary,G4
LAMP1,Primary,G4
LATS2,Primary,G4
LIG4,Primary,G4
LINC00284,Primary,G4
LINC00346,Primary,G4
LINC00410,Primary,G4
LINC00426,Primary,G4
LINC00442,Primary,G4
LINC00452,Primary,G4
LINC00598,Primary,G4
LMO7,Primary,G4
LNX2,Primary,G4
LPAR6,Primary,G4
LRCH1,Primary,G4
MAB21L1,Primary,G4
MBNL2,Primary,G4
MCF2L,Primary,G4
MED4,Primary,G4
MEDAG,Primary,G4
METTL21C,Primary,G4
METTL21EP,Primary,G4
MICU2,Primary,G4
MIPEP,Primary,G4
MIR17HG,Primary,G4
MLNR,Primary,G4
MPHOSPH8,Primary,G4
MRPS31,Primary,G4
MTIF3,Primary,G4
MTMR6,Primary,G4
MTRF1,Primary,G4
MTUS2,Primary,G4
MYCBP2,Primary,G4
MYO16,Primary,G4
MZT1,Primary,G4
N4BP2L1,Primary,G4
N4BP2L2,Primary,G4
NAA16,Primary,G4
NALCN,Primary,G4
NBEA,Primary,G4
NDFIP2,Primary,G4
NEK3,Primary,G4
NEK5,Primary,G4
NHLRC3,Primary,G4
NUDT15,Primary,G4
NUFIP1,Primary,G4
OLFM4,Primary,G4
OXGR1,Primary,G4
PAN3,Primary,G4
PARP4,Primary,G4
PCCA,Primary,G4
PCDH20,Primary,G4
PCDH8,Primary,G4
PCDH9,Primary,G4
PCID2,Primary,G4
PDS5B,Primary,G4
PDX1,Primary,G4
PHF11,Primary,G4
PIBF1,Primary,G4
POLR1D,Primary,G4
POMP,Primary,G4
POU4F1,Primary,G4
PROSER1,Primary,G4
PROZ,Primary,G4
PSPC1,Primary,G4
RAB20,Primary,G4
RAP2A,Primary,G4
RASA3,Primary,G4
RASL11A,Primary,G4
RB1,Primary,G4
RBM26,Primary,G4
RCBTB1,Primary,G4
RCBTB2,Primary,G4
